"symbol","update_date","company_name","last_sale","net_change","percent_change","market_cap_m","volume_t","ipo_year","country","sector","industry","bnw_symbol","zck_symbol","prn_symbol","update_time"
"WRK","2022-05-09","Westrock Company Common Stock",51.31,-2.09,-3.914,13505,3772,2015,"","","","WRK","WRK","WRK","16:30:13"
"ZGN","2022-05-09","Ermenegildo Zegna N.V. Ordinary Shares",9.22,-0.3,-3.151,2234,70,2021,"","","","ZGN","ZGN","ZGN","16:30:13"
"DC","2022-05-09","Dakota Gold Corp. Common Stock",3.78,-0.17,-4.304,267,138,2022,"","Basic Industries","Precious Metals","DC","DC","DC","16:30:02"
"AHRN","2022-05-09","Ahren Acquisition Corp. Class A Ordinary Shares",9.92,-0.02,-0.201,371,0,2022,"Cayman Islands","","","AHRN","AHRN","AHRN","16:30:03"
"AIB","2022-05-09","AIB Acquisition Corporation Class A Ordinary Shares",9.94,0.0,0.0,111,10,2022,"United States","","","AIB","AIB","AIB","16:30:03"
"AAMC","2022-05-09","Altisource Asset Management Corp Com",10.0,-0.5,-4.776,20,3,NULL,"United States","Finance","Investment Managers","AAMC","AAMC","AAMC","16:30:02"
"ACU","2022-05-09","Acme United Corporation. Common Stock",33.22,-0.87,-2.552,116,9,1988,"United States","Consumer Durables","Home Furnishings","ACU","ACU","ACU","16:30:02"
"ADRA","2022-05-09","Adara Acquisition Corp. Class A Common Stock",9.88,-0.04,-0.403,142,8,2021,"United States","Finance","Diversified Financial Service","ADRA","ADRA","ADRA","16:30:02"
"ADRT","2022-05-09","Ault Disruptive Technologies Corporation Common Stock",9.99,-0.01,-0.1,143,0,2022,"","Finance","Diversified Financial Service","ADRT","ADRT","ADRT","16:30:02"
"AE","2022-05-09","Adams Resources & Energy Inc. Common Stock",35.98,-1.67,-4.436,157,28,NULL,"United States","Energy","Oilfield Services/Equipment","AE","AE","AE","16:30:02"
"AIM","2022-05-09","AIM ImmunoTech Inc. Common Stock",1.03,-0.04,-3.738,40,240,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","AIM","AIM","AIM","16:30:02"
"AINC","2022-05-09","Ashford Inc. (Holding Company) Common Stock",13.93,0.18,1.309,43,30,2014,"United States","Finance","Investment Managers","AINC","AINC","AINC","16:30:02"
"AMS","2022-05-09","American Shared Hospital Services Common Stock",2.33,0.03,1.304,14,10,NULL,"United States","Health Care","Medical Specialities","AMS","AMS","AMS","16:30:02"
"APT","2022-05-09","Alpha Pro Tech Ltd. Common Stock",3.91,-0.09,-2.25,50,123,NULL,"Canada","","","APT","APT","APT","16:30:02"
"AREN","2022-05-09","The Arena Group Holdings Inc. Common Stock",13.15,-1.85,-12.333,229,92,NULL,"","Consumer Services","Interactive Media","AREN","AREN","AREN","16:30:02"
"ARMP","2022-05-09","Armata Pharmaceuticals Inc. Common Stock",4.1,-0.09,-2.031,148,2,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","ARMP","ARMP","ARMP","16:30:02"
"ATNM","2022-05-09","Actinium Pharmaceuticals Inc. (Delaware) Common Stock",5.52,-0.2,-3.497,122,415,NULL,"United States","Health Care","Biotechnology: Pharmaceutical Preparations","ATNM","ATNM","ATNM","16:30:02"
"AUST","2022-05-09","Austin Gold Corp. Common Shares",2.79,-0.17,-5.743,35,9687,2022,"","","","AUST","AUST","AUST","16:30:02"
"AWX","2022-05-09","Avalon Holdings Corporation Common Stock",3.11,-0.14,-4.302,12,11,NULL,"United States","Public Utilities","Environmental Services","AWX","AWX","AWX","16:30:02"
"AXU","2022-05-09","Alexco Resource Corp Common Shares (Canada)",0.95,-0.09,-8.654,154,776,NULL,"Canada","","","AXU","AXU","AXU","16:30:02"
"BATL","2022-05-09","Battalion Oil Corporation Common Stock",16.17,-2.86,-15.029,264,29,NULL,"","Energy","Oil & Gas Production","BATL","BATL","BATL","16:30:02"
"BDL","2022-05-09","Flanigan's Enterprises Inc. Common Stock",37.2,0.3,0.813,69,3,NULL,"United States","Consumer Services","Restaurants","BDL","BDL","BDL","16:30:02"
"BGI","2022-05-09","Birks Group Inc. Common Stock",5.09,-0.06,-1.165,93,60,NULL,"Canada","","","BGI","BGI","BGI","16:30:02"
"BHB","2022-05-09","Bar Harbor Bankshares Inc. Common Stock",26.08,-0.02,-0.077,391,21,NULL,"United States","Finance","Major Banks","BHB","BHB","BHB","16:30:02"
"BKTI","2022-05-09","BK Technologies Corporation Common Stock",2.42,-0.07,-2.811,40,31,NULL,"United States","Technology","Radio And Television Broadcasting And Communications Equipment","BKTI","BKTI","BKTI","16:30:02"
"BMTX","2022-05-09","BM Technologies Inc. Common Stock",6.78,-0.07,-1.022,83,35,2018,"","Technology","EDP Services","BMTX","BMTX","BMTX","16:30:02"
"BRBS","2022-05-09","Blue Ridge Bankshares Inc. Common Stock",14.15,-0.55,-3.741,265,227,NULL,"","Finance","Commercial Banks","BRBS","BRBS","BRBS","16:30:02"
"BRG","2022-05-09","Bluerock Residential Growth REIT Inc. Class A Common Stock",26.09,-0.5,-1.88,765,618,2014,"","Consumer Services","Real Estate Investment Trusts","BRG","BRG","BRG","16:30:02"
"BRN","2022-05-09","Barnwell Industries Inc. Common Stock",2.93,-0.12,-3.934,29,273,NULL,"United States","Energy","Oil & Gas Production","BRN","BRN","BRN","16:30:02"
"BTG","2022-05-09","B2Gold Corp Common shares (Canada)",4.02,-0.29,-6.729,4254,14745,NULL,"Canada","","","BTG","BTG","BTG","16:30:02"
"BTN","2022-05-09","Ballantyne Strong Inc. Common Stock",2.94,-0.06,-2.0,56,27,NULL,"United States","Miscellaneous","Industrial Machinery/Components","BTN","BTN","BTN","16:30:02"
"BTTR","2022-05-09","Better Choice Company Inc. Common Stock",1.91,-0.24,-11.163,56,39,2021,"","Consumer Non-Durables","Food Distributors","BTTR","BTTR","BTTR","16:30:02"
"CANF","2022-05-09","Can-Fite Biopharma Ltd Sponsored ADR (Israel)",0.84,-0.07,-7.692,22,195,NULL,"Israel","Health Care","Biotechnology: Pharmaceutical Preparations","CANF","CANF","CANF","16:30:02"
"CCF","2022-05-09","Chase Corporation Common Stock",84.9,0.81,0.963,803,40,NULL,"United States","Basic Industries","Paints/Coatings","CCF","CCF","CCF","16:30:02"
"CET","2022-05-09","Central Securities Corporation Common Stock",37.82,-1.06,-2.726,1031,47,NULL,"United States","Finance","Finance/Investors Services","CET","CET","CET","16:30:02"
"CEV","2022-05-09","Eaton Vance California Municipal Income Trust Shares of Beneficial Interest",10.46,-0.07,-0.665,74,28,1999,"United States","Finance","Finance/Investors Services","CEV","CEV","CEV","16:30:02"
"CIX","2022-05-09","CompX International Inc. Common Stock",20.59,-1.21,-5.55,254,19,1998,"United States","Miscellaneous","Diversified Manufacture","CIX","CIX","CIX","16:30:02"
"CKX","2022-05-09","CKX Lands Inc. Common Stock",11.4,-0.1,-0.892,22,3,NULL,"United States","Energy","Oil & Gas Production","CKX","CKX","CKX","16:30:02"
"CMCL","2022-05-09","Caledonia Mining Corporation Plc Common Shares",12.61,-0.67,-5.045,161,45,NULL,"Canada","Basic Industries","Precious Metals","CMCL","CMCL","CMCL","16:30:02"
"CMT","2022-05-09","Core Molding Technologies Inc Common Stock",10.2,-0.09,-0.875,88,20,NULL,"United States","Consumer Durables","Electronic Components","CMT","CMT","CMT","16:30:02"
"COHN","2022-05-09","Cohen & Company Inc.",12.18,-1.81,-12.938,18,31,NULL,"United States","Finance","Investment Bankers/Brokers/Service","COHN","COHN","COHN","16:30:02"
"CQP","2022-05-09","Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units",54.34,-2.24,-3.959,26302,186,2007,"United States","Public Utilities","Oil/Gas Transmission","CQP","CQP","CQP","16:30:02"
"CTEK","2022-05-09","CynergisTek Inc. Common Stock",0.77,-0.11,-12.377,10,190,2017,"United States","Technology","Retail: Computer Software & Peripheral Equipment","CTEK","CTEK","CTEK","16:30:02"
"CTGO","2022-05-09","Contango ORE Inc. Common Stock",24.0,-0.5,-2.041,161,0,2021,"","Basic Industries","Precious Metals","CTGO","CTGO","CTGO","16:30:02"
"CVM","2022-05-09","Cel-Sci Corporation Common Stock",2.86,-0.19,-6.23,123,600,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","CVM","CVM","CVM","16:30:02"
"CVR","2022-05-09","Chicago Rivet & Machine Co. Common Stock",26.0,0.3,1.174,25,1,NULL,"United States","Consumer Non-Durables","Industrial Specialties","CVR","CVR","CVR","16:30:02"
"CVU","2022-05-09","CPI Aerostructures Inc. Common Stock",2.4,-0.15,-5.882,29,5,NULL,"United States","Capital Goods","Military/Government/Technical","CVU","CVU","CVU","16:30:02"
"DIT","2022-05-09","AMCON Distributing Company Common Stock",163.6,-10.38,-5.966,95,1,NULL,"United States","Consumer Non-Durables","Food Distributors","DIT","DIT","DIT","16:30:02"
"DLA","2022-05-09","Delta Apparel Inc. Common Stock",28.97,-0.84,-2.818,201,42,NULL,"United States","Consumer Non-Durables","Department/Specialty Retail Stores","DLA","DLA","DLA","16:30:02"
"DMF","2022-05-09","BNY Mellon Municipal Income Inc. Common Stock",6.96,-0.14,-1.972,144,43,1988,"United States","Finance","Finance/Investors Services","DMF","DMF","DMF","16:30:02"
"DNN","2022-05-09","Denison Mines Corp Ordinary Shares (Canada)",1.05,-0.15,-12.5,858,18009,NULL,"Canada","","","DNN","DNN","DNN","16:30:02"
"DPSI","2022-05-09","DecisionPoint Systems Inc. Common Stock",8.77,2.08,31.091,63,1042,2022,"","Technology","Computer Software: Programming Data Processing","DPSI","DPSI","DPSI","16:30:02"
"ELA","2022-05-09","Envela Corporation Common Stock",4.84,-0.05,-1.022,130,42,NULL,"United States","Consumer Non-Durables","Consumer Specialties","ELA","ELA","ELA","16:30:02"
"ELLO","2022-05-09","Ellomay Capital Ltd Ordinary Shares (Israel)",22.63,-2.5,-9.948,290,4,NULL,"Israel","Public Utilities","Electric Utilities: Central","ELLO","ELLO","ELLO","16:30:02"
"ELMD","2022-05-09","Electromed Inc. Common Stock",12.5,0.0,-0.001,106,35,2011,"United States","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","ELMD","ELMD","ELMD","16:30:02"
"EMAN","2022-05-09","eMagin Corporation Common Stock",0.77,0.0,0.013,56,1294,NULL,"United States","Capital Goods","Industrial Machinery/Components","EMAN","EMAN","EMAN","16:30:02"
"EMX","2022-05-09","EMX Royalty Corporation Common Shares (Canada)",1.83,-0.11,-5.67,200,252,NULL,"Canada","","","EMX","EMX","EMX","16:30:02"
"ENSV","2022-05-09","Enservco Corporation Common Stock",2.49,-0.44,-15.017,28,528,NULL,"United States","Energy","Oilfield Services/Equipment","ENSV","ENSV","ENSV","16:30:02"
"EP","2022-05-09","Empire Petroleum Corporation Common Stock",19.46,-5.24,-21.215,386,58,2022,"United States","Energy","Oil & Gas Production","EP","EP","EP","16:30:02"
"EPM","2022-05-09","Evolution Petroleum Corporation Inc. Common Stock",6.38,-0.51,-7.402,214,285,NULL,"United States","Energy","Oil & Gas Production","EPM","EPM","EPM","16:30:02"
"EQX","2022-05-09","Equinox Gold Corp. Common Shares",5.57,-0.23,-3.966,1686,3726,NULL,"Canada","","","EQX","EQX","EQX","16:30:02"
"ESP","2022-05-09","Espey Mfg. & Electronics Corp. Common Stock",13.6,0.11,0.815,36,3,NULL,"United States","Capital Goods","Industrial Machinery/Components","ESP","ESP","ESP","16:30:02"
"EVBN","2022-05-09","Evans Bancorp Inc. Common Stock",37.01,-0.11,-0.296,204,9,NULL,"United States","Finance","Major Banks","EVBN","EVBN","EVBN","16:30:02"
"EVI","2022-05-09","EVI Industries Inc.  Common Stock",12.9,-0.02,-0.155,158,17,NULL,"United States","Capital Goods","Industrial Machinery/Components","EVI","EVI","EVI","16:30:02"
